OID,SUMACCIDEN,ID,CITY,MainUse,POP_2018,TAZAREA,USETYPE,CITYCODE,USETYPECOD,DEAD,SEVER_INJ,SLIGH_INJ,PEDESTRINJ,INJ0_19,INJ20_64,INJ65_,INJTOTAL,TOTDRIVERS,MOTORCYCLE,TRUCK,BICYCLE,PRIVATE,VEHICLE,ACC_INDEX,YEARMONTH,Shape_Length,Shape_Area
-1,60,1846,יקנעם עילית,תעשיה,0,2213735,תעשיה/מסחר/מתקנים,240,4,1,10,147,5,27,122,7,158,128,1,5,0,92,109,27.103509447940297,202308,14635.271391991835117,2213735.461647371295840
-1,3,797,גדרה,מגורים,7412,1054363,מגורים,2550,1,0,0,4,3,1,1,1,4,4,0,0,1,2,3,2.845320131800408,202308,4332.271446469982038,1054362.905063240090385
-1,16,2409,באר שבע,מגורים,3733,347151,מגורים,9000,1,2,0,41,2,8,27,8,43,31,0,1,0,18,25,46.089454892998148,202308,2395.975856482111340,347150.992285454412922
-1,0,1439,שמורת טבע נחל דולב,שמורת טבע,0,1094522,פנאי/טבע/ספורט,0,3,,,,,,,,,,,,,,,0.000000000000000,202308,5220.200972642415763,1094521.484573980560526
-1,6,390,רעננה,שטח לדרכים,0,495014,עתידי/לא ידוע,8700,5,0,2,10,0,1,11,0,12,14,2,0,0,7,9,12.120875992359998,202308,3402.599642078203033,495013.727042658138089
-1,19,1041,קלנסווה,מגורים,10482,6025328,מגורים,638,1,2,3,35,4,9,28,3,40,33,2,2,0,19,28,3.153355289940345,202308,11417.278730760692270,6025328.024600566364825
-1,42,248,בני ברק,תעשיה+מגורים,13994,432759,מגורים,6100,1,0,10,34,29,19,18,7,44,56,8,3,1,21,38,97.051795640373058,202308,3605.799081477116033,432758.608152204134967
-1,26,1683,חיפה,קריית הממשלה,0,164029,מוסדי/ציבורי,4000,2,1,4,34,9,4,29,6,39,41,2,1,0,24,36,158.508351841446341,202308,1855.790845403383855,164029.211697358579841
-1,12,890,עדנים,מגורים,519,1528305,מגורים,0,1,0,3,28,1,9,19,3,31,23,3,0,0,8,13,7.851837539848204,202308,5651.561981437156646,1528304.672517713624984
-1,65,2262,פרדס חנה אזורים סטטיסטיים 78 ונווה אבות,מגורים+מוסדי,8946,8640781,מגורים,0,1,0,7,101,9,16,76,14,108,131,7,5,2,80,99,7.522467786205161,202308,14737.713623133784495,8640781.436006702482700
-1,0,1532,בית ג'אלא,לא ידוע,0,1022447,עתידי/לא ידוע,0,5,,,,,,,,,,,,,,,0.000000000000000,202308,4877.144611465370872,1022446.604973342386074
-1,19,483,לוד,מגורים,6207,837568,מגורים,7000,1,0,7,14,5,4,15,2,21,33,6,0,1,15,26,22.684719988721749,202308,4042.094305636512217,837568.196100560482591
-1,34,1150,ירושלים,מגורים+ מכללה אקדמאית+ בית חולים,4422,317382,מגורים,3000,1,0,4,45,16,10,34,4,49,53,5,0,6,24,42,107.126288094074468,202308,2840.741701145226216,317382.414763987879269
-1,86,101,תל אביב -יפו,תעשיה+ מגורים,970,188991,מגורים,5000,1,0,12,91,22,5,83,5,103,166,41,3,14,51,129,455.047030240342622,202308,1819.914575951757342,188991.454256008000812
-1,31,1776,חיפה,מגורים,5656,541689,מגורים,4000,1,0,6,53,5,14,31,14,59,64,2,2,1,45,55,57.228376968196130,202308,3922.042578915310514,541689.309435209375806
-1,21,2481,אשקלון,מגורים,8979,764276,מגורים,7100,1,1,1,30,8,10,15,7,32,36,1,0,1,23,28,27.476983059272278,202308,3671.090287038148290,764276.047144608921371
-1,9,743,מודיעין-מכבים-רעות*,מגורים,5033,560801,מגורים,1200,1,0,0,14,0,3,8,3,14,19,0,0,0,15,15,16.048479032966203,202308,4729.756894878196363,560800.807448015897535
-1,2,2099,סח'נין,מגורים,5488,4606249,מגורים,7500,1,0,0,3,0,0,3,0,3,4,0,0,1,2,4,0.434192736258865,202308,10447.186415622816639,4606249.328886982984841
-1,0,1369,ביתוניא מזרח,לא ידוע,0,1571421,עתידי/לא ידוע,0,5,,,,,,,,,,,,,,,0.000000000000000,202308,5472.608919583133684,1571420.862590015400201
-1,15,320,מקווה ישראל,מוסדי,386,1619017,מוסדי/ציבורי,0,2,0,0,26,1,3,19,4,26,34,2,1,0,22,29,9.264879624988440,202308,5356.582373368572917,1619017.257336326641962
-1,2,2011,הילה,מגורים,578,12255899,מגורים,0,1,0,0,7,0,4,3,0,7,3,0,0,0,2,3,0.163186721914771,202308,23591.745190702386026,12255899.110741136595607
-1,67,962,מתקן מחיזור חירייה,מתקן מיחזור,0,3015576,תעשיה/מסחר/מתקנים,0,4,1,24,73,1,10,78,9,98,143,32,6,1,64,117,22.217979478734502,202308,9554.970224392587625,3015575.744145758915693
-1,0,1629,ראס אל-ג'ורא,לא ידוע,0,1054590,עתידי/לא ידוע,0,5,,,,,,,,,,,,,,,0.000000000000000,202308,4934.232036858394167,1054589.640155575005338
-1,12,2334,גן שמואל תלמי אלעזר,מגורים,1825,13078260,מגורים,0,1,0,6,14,0,4,11,4,20,23,3,1,1,12,20,0.917553274544125,202308,29594.210270322819269,13078259.685751814395189
-1,0,580,רחובות,שטח פתוח,0,1481664,פנאי/טבע/ספורט,8400,3,,,,,,,,,,,,,,,0.000000000000000,202308,6656.022948528776396,1481664.059423284605145
-1,2,1222,ירושלים,מיועד למגורים,0,369442,עתידי/לא ידוע,3000,5,0,1,1,0,1,1,0,2,3,0,0,0,1,1,5.413569775742033,202308,2666.434836049390469,369441.991670987918042
-1,0,2578,תעשיון מבצע*,תעשיה,0,3310292,תעשיה/מסחר/מתקנים,0,4,,,,,,,,,,,,,,,0.000000000000000,202308,7684.484556762788998,3310292.015843340661377
-1,12,173,רמת השרון,תעשיה ומסחר,0,294968,תעשיה/מסחר/מתקנים,2650,4,0,8,13,7,2,16,3,21,22,1,1,0,5,10,40.682388147546128,202308,3214.968488990132300,294967.934440786135383
-1,1,1848,דאלית אל-כרמל,מגורים,4546,3109752,מגורים,0,1,0,0,3,0,1,2,0,3,2,0,0,0,2,2,0.321569002610637,202308,10684.357623902440537,3109752.469552619848400
-1,7,815,קריית עקרון,מגורים,3451,803691,מגורים,469,1,2,1,8,3,6,5,0,11,11,3,0,1,4,8,8.709816452593071,202308,4254.351612672722695,803690.874325597658753
