OID,SUMACCIDEN,CITY,CITYCODE,MUNITYPE,DISTRICT,MUNICIPAL,MUNICODE,DEAD,SEVER_INJ,SLIGH_INJ,PEDESTRINJ,INJ0_19,INJ20_64,INJ65_,INJTOTAL,TOTDRIVERS,MOTORCYCLE,TRUCK,BICYCLE,PRIVATE,VEHICLE,ACC_INDEX,AreaSQKM,YEARMONTH,Shape_Length,Shape_Area
-1,0,אבשלום,1311,מועצה אזורית,דרום,אשכול,5538,,,,,,,,,,,,,,,0.000000000000000,0.567094982328815,202308,3668.441756511211224,567094.982328814920038
-1,0,אוהד,1046,מועצה אזורית,דרום,אשכול,5538,,,,,,,,,,,,,,,0.000000000000000,4.432586669078970,202308,9036.649836709813826,4432586.669078969396651
-1,20,אורים,403,מועצה אזורית,דרום,אשכול,5538,4,6,45,1,17,35,3,55,37,0,4,0,19,27,0.942854393907051,21.212183057367874,202308,32909.645167024697002,21212183.057367872446775
-1,36,בארי,399,מועצה אזורית,דרום,אשכול,5538,0,4,46,2,5,32,4,50,67,5,5,0,38,61,3.113672023737792,11.561911378445048,202308,22171.350367952483793,11561911.378445047885180
-1,1,בני נצרים,1363,מועצה אזורית,דרום,אשכול,5538,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0.658986045125213,1.517482816817450,202308,6233.328900976304794,1517482.816817450337112
-1,2,גבולות,352,מועצה אזורית,דרום,אשכול,5538,0,0,2,0,0,1,0,2,3,0,0,0,1,3,0.470134073741301,4.254105608819442,202308,9335.260752515278000,4254105.608819441869855
-1,3,דקל,1241,מועצה אזורית,דרום,אשכול,5538,0,0,3,0,0,2,1,3,4,0,1,0,1,4,1.013071234274675,2.961292255176804,202308,6950.757438805723723,2961292.255176804028451
-1,0,חולית,1239,מועצה אזורית,דרום,אשכול,5538,,,,,,,,,,,,,,,0.000000000000000,4.117920282524723,202308,9396.874925108557363,4117920.282524722628295
-1,2,יבול,1232,מועצה אזורית,דרום,אשכול,5538,0,0,3,1,0,3,0,3,2,0,2,0,0,2,0.642336684014008,3.113631915745268,202308,7050.440134167491124,3113631.915745268110186
-1,19,ישע,916,מועצה אזורית,דרום,אשכול,5538,1,8,24,0,6,24,3,33,35,0,4,0,22,31,4.123482315965698,4.607755907290777,202308,10247.642917308254255,4607755.907290777191520
-1,2,יתד,1227,מועצה אזורית,דרום,אשכול,5538,0,1,2,0,0,2,0,3,3,0,0,1,1,3,0.573511478687989,3.487288527468292,202308,7483.261917158883989,3487288.527468292042613
-1,5,כיסופים,840,מועצה אזורית,דרום,אשכול,5538,1,4,3,0,1,6,1,8,8,0,3,0,4,8,0.329389633447247,15.179591256932413,202308,32497.147906049845915,15179591.256932413205504
-1,6,כרם שלום,1085,מועצה אזורית,דרום,אשכול,5538,0,0,6,2,0,4,2,6,8,0,4,0,0,7,0.906165291761505,6.621308556562052,202308,10741.075012578017777,6621308.556562052108347
-1,3,מבטחים,829,מועצה אזורית,דרום,אשכול,5538,0,0,3,0,0,3,0,3,5,0,1,0,3,4,0.681570852301692,4.401596679008322,202308,9591.231032802475966,4401596.679008321836591
-1,11,מגן,695,מועצה אזורית,דרום,אשכול,5538,0,1,14,0,3,10,1,15,19,0,1,2,11,19,1.542145272818910,7.132920739621982,202308,16180.769127616940750,7132920.739621981978416
-1,0,נווה,1366,מועצה אזורית,דרום,אשכול,5538,,,,,,,,,,,,,,,0.000000000000000,0.960777487936187,202308,4239.995098972912274,960777.487936187302694
-1,2,ניר יצחק,402,מועצה אזורית,דרום,אשכול,5538,0,0,2,0,0,0,2,2,2,1,0,0,1,2,0.333618489462122,5.994871576885658,202308,10721.402196646344237,5994871.576885658316314
-1,2,ניר עוז,69,מועצה אזורית,דרום,אשכול,5538,0,0,2,1,0,2,0,2,2,0,0,0,1,2,0.115197569075248,17.361477469143331,202308,21276.165843470309483,17361477.469143331050873
-1,5,נירים,602,מועצה אזורית,דרום,אשכול,5538,0,2,4,0,1,4,1,6,7,1,1,0,1,3,0.204939187890422,24.397481279536539,202308,34861.026100570379640,24397481.279536537826061
-1,0,סופה,1238,מועצה אזורית,דרום,אשכול,5538,,,,,,,,,,,,,,,0.000000000000000,4.404392354406850,202308,10747.583358400821453,4404392.354406850412488
-1,5,עין הבשור,1240,מועצה אזורית,דרום,אשכול,5538,0,1,7,0,1,4,2,8,8,0,1,0,4,7,1.549183373029295,3.227506883334881,202308,8637.253990195877122,3227506.883334881160408
-1,0,עין השלושה,676,מועצה אזורית,דרום,אשכול,5538,,,,,,,,,,,,,,,0.000000000000000,13.718783694297885,202308,26986.759265654876799,13718783.694297885522246
-1,6,עמיעוז,318,מועצה אזורית,דרום,אשכול,5538,0,2,11,0,3,8,2,13,11,1,0,0,4,7,1.453803115612086,4.127106301786854,202308,8607.880577197041930,4127106.301786853931844
-1,0,פרי גן,1231,מועצה אזורית,דרום,אשכול,5538,,,,,,,,,,,,,,,0.000000000000000,3.072210047243443,202308,7050.768053907348985,3072210.047243443317711
-1,21,צאלים,413,מועצה אזורית,דרום,אשכול,5538,0,2,21,0,1,19,3,23,29,4,2,1,9,24,3.190032972443043,6.583004057139082,202308,14089.960597677752958,6583004.057139081880450
-1,0,צוחר,1136,מועצה אזורית,דרום,אשכול,5538,,,,,,,,,,,,,,,0.000000000000000,0.219345340367580,202308,2543.671564052314807,219345.340367579774465
-1,17,רעים,713,מועצה אזורית,דרום,אשכול,5538,1,1,32,0,5,28,1,34,25,3,1,0,12,17,1.188014962109572,14.309584089591684,202308,20810.765671640219807,14309584.089591683819890
-1,2,שדה ניצן,1058,מועצה אזורית,דרום,אשכול,5538,0,0,2,0,0,2,0,2,3,0,1,0,0,1,0.835914850308357,2.392588191563087,202308,6989.057069741841588,2392588.191563086584210
-1,0,שדי אברהם,1223,מועצה אזורית,דרום,אשכול,5538,,,,,,,,,,,,,,,0.000000000000000,3.756900506935228,202308,7884.219885183161750,3756900.506935228127986
-1,88,שטח כללי,5538,מועצה אזורית,דרום,אשכול,5538,6,17,116,0,24,98,6,139,153,4,13,2,70,116,0.166824798981588,527.499511686584242,202308,386201.280173980514519,527499511.686584234237671
-1,2,שלומית,1364,מועצה אזורית,דרום,אשכול,5538,0,2,0,1,1,1,0,2,2,0,0,0,2,2,1.860228373645951,1.075136810261691,202308,4781.603805554010250,1075136.810261690523475
-1,1,תלמי אליהו,1051,מועצה אזורית,דרום,אשכול,5538,0,0,1,0,1,0,0,1,2,0,0,1,1,2,0.170694163175841,5.858431134343164,202308,11242.693128466204143,5858431.134343164041638
-1,0,תלמי יוסף,1237,מועצה אזורית,דרום,אשכול,5538,,,,,,,,,,,,,,,0.000000000000000,3.224559961065524,202308,7285.555877759756186,3224559.961065523792058
-1,5411,אשקלון,7100,עירייה,דרום,אשקלון,7100,17,145,6945,686,1063,4959,721,7107,9947,314,254,275,5801,7935,103.425164751818116,52.318021566457112,202308,42463.301976515758724,52318021.566457115113735
-1,909,באקה אל גרבייה (באקה אל ררבי,6000,עירייה,חיפה,באקה אל גרבייה (באקה אל ררבי,6000,3,40,1364,85,386,966,43,1407,1698,32,49,50,1019,1368,99.011868399985616,9.180717571431387,202308,17468.962957013915002,9180717.571431387215853
-1,20,אביגדור,819,מועצה אזורית,דרום,באר טוביה,5533,1,0,32,0,6,24,2,33,43,1,2,0,27,35,5.737991505395614,3.485540189662771,202308,9497.654488586747902,3485540.189662771299481
-1,16,אורות,2012,מועצה אזורית,דרום,באר טוביה,5533,0,1,25,0,1,20,2,26,30,2,1,0,16,22,6.208153439542745,2.577255887086848,202308,8679.510015936806667,2577255.887086847797036
-1,3,אחווה,1157,מועצה אזורית,דרום,באר טוביה,5533,0,0,5,0,1,3,1,5,6,0,0,0,4,4,33.361283800880365,0.089924596964126,202308,1324.992103445374823,89924.596964126234525
-1,58,אמונים,772,מועצה אזורית,דרום,באר טוביה,5533,1,4,82,1,16,68,1,87,110,5,6,0,59,86,14.660439720658379,3.956225127290745,202308,22205.298626991479978,3956225.127290745265782
-1,75,באר טוביה,155,מועצה אזורית,דרום,באר טוביה,5533,2,0,100,6,14,75,6,102,137,4,6,1,83,115,12.736101241707146,5.888772284126960,202308,14859.388855595161658,5888772.284126959741116
-1,23,ביצרון,234,מועצה אזורית,דרום,באר טוביה,5533,0,0,31,2,4,20,6,31,43,2,0,2,28,41,4.069567042828735,5.651706866589135,202308,13940.481111088769467,5651706.866589134559035
-1,120,בית עזרא,756,מועצה אזורית,דרום,באר טוביה,5533,0,2,166,0,18,132,14,168,256,4,6,0,159,204,27.022245224902054,4.440785693463225,202308,11535.966502060935454,4440785.693463225848973
-1,12,גבעתי,793,מועצה אזורית,דרום,באר טוביה,5533,0,1,11,0,0,11,1,12,20,5,2,0,10,20,3.341300022097284,3.591416490778874,202308,10332.561391484841806,3591416.490778873674572
-1,29,חצב,700,מועצה אזורית,דרום,באר טוביה,5533,0,0,36,3,3,30,1,36,51,1,2,0,34,43,6.526888841374470,4.443158249634448,202308,19486.220539114980056,4443158.249634447507560
-1,6,חצור-אשדוד,406,מועצה אזורית,דרום,באר טוביה,5533,0,0,6,0,0,6,0,6,10,0,1,0,4,7,1.287741952811041,4.659318574581238,202308,19348.794950375631743,4659318.574581237509847
-1,40,ינון,2011,מועצה אזורית,דרום,באר טוביה,5533,1,2,54,4,7,42,5,57,75,0,3,0,45,61,8.621720347799087,4.639445306319987,202308,16827.019669153320137,4639445.306319986470044
-1,12,כפר אחים,690,מועצה אזורית,דרום,באר טוביה,5533,0,0,20,2,2,15,0,20,22,1,0,0,16,20,3.905101400844807,3.072903560815089,202308,13570.261476430898256,3072903.560815088916570
-1,29,כפר ורבורג,320,מועצה אזורית,דרום,באר טוביה,5533,0,4,40,2,6,32,4,44,55,2,2,0,31,44,4.478918696826197,6.474777052896644,202308,14349.842093312219731,6474777.052896643988788
-1,4,נווה מבטח,827,מועצה אזורית,דרום,באר טוביה,5533,0,0,5,0,0,5,0,5,7,0,0,1,3,5,1.811269693728548,2.208395587829822,202308,6263.847120083170012,2208395.587829822674394
-1,27,ניר בנים,553,מועצה אזורית,דרום,באר טוביה,5533,1,0,47,0,7,36,4,48,56,1,5,0,29,41,6.482320927026259,4.165174835363505,202308,10169.877175069390432,4165174.835363505408168
-1,2,עזר,1149,מועצה אזורית,דרום,באר טוביה,5533,0,0,2,0,0,2,0,2,4,0,0,0,2,2,14.516149032181810,0.137777587951603,202308,1757.754331695702376,137777.587951602588873
-1,38,עזריקם,817,מועצה אזורית,דרום,באר טוביה,5533,0,2,45,1,5,36,5,47,61,4,1,0,32,47,7.780165863140853,4.884214638665736,202308,18965.639703211643791,4884214.638665736652911
-1,129,ערוגות,593,מועצה אזורית,דרום,באר טוביה,5533,1,4,190,3,22,159,12,195,257,1,14,1,158,210,31.455460070296756,4.101036821960652,202308,14516.995181706788571,4101036.821960652247071
-1,401,שדה עוזיהו,739,מועצה אזורית,דרום,באר טוביה,5533,3,10,564,7,55,473,34,577,840,16,35,1,543,685,87.428995020709152,4.586579085176672,202308,10811.231043985610086,4586579.085176672786474
-1,356,שטח כללי,5533,מועצה אזורית,דרום,באר טוביה,5533,8,17,530,20,66,421,45,555,699,16,38,2,394,531,8.093403716885513,43.986437900937332,202308,150322.342955354426522,43986437.900937333703041
-1,24,שתולים,763,מועצה אזורית,דרום,באר טוביה,5533,0,0,30,1,7,23,0,30,45,2,1,0,27,32,6.098879420116484,3.935149122777970,202308,10521.201876740820808,3935149.122777970507741
-1,60,תימורים,163,מועצה אזורית,דרום,באר טוביה,5533,2,0,85,10,12,63,11,87,105,2,8,1,52,73,17.170311149900868,3.494403769167946,202308,16047.342789037862531,3494403.769167945720255
-1,4,תלמי יחיאל,727,מועצה אזורית,דרום,באר טוביה,5533,0,1,3,0,0,4,0,4,8,0,0,0,5,8,1.063444257087266,3.761363111740195,202308,13380.477448456775164,3761363.111740195192397
-1,624,באר יעקב,2530,מועצה מקומית,מרכז,באר יעקב,2530,2,20,758,80,105,586,54,780,1161,60,33,15,703,931,65.948752196416720,9.461892442506359,202308,17969.219226946210256,9461892.442506359890103
-1,7101,באר שבע,9000,עירייה,דרום,באר שבע,9000,38,253,9421,908,1201,7195,1119,9712,12789,364,243,171,7122,10234,60.486314844853382,117.398456464308879,202308,55936.004856860337895,117398456.464308872818947
-1,2,דחי,475,מועצה אזורית,צפון,בוסתאן אל מרג',5566,0,0,2,0,0,1,0,2,4,0,0,0,1,2,7.006809135764192,0.285436631888771,202308,4297.554900789520616,285436.631888770847581
-1,20,כפר מצר,512,מועצה אזורית,צפון,בוסתאן אל מרג',5566,1,2,27,1,4,25,1,30,30,0,4,0,18,26,4.954059426261498,4.037093276269534,202308,10530.914130857414420,4037093.276269534137100
-1,91,נין,523,מועצה אזורית,צפון,בוסתאן אל מרג',5566,1,1,159,2,26,124,8,161,201,3,12,0,124,157,35.058731268886042,2.595644414570152,202308,8113.710636733783758,2595644.414570151828229
-1,9,סולם,526,מועצה אזורית,צפון,בוסתאן אל מרג',5566,0,0,14,3,7,6,1,14,13,0,1,0,7,10,4.315286442864393,2.085608943731206,202308,8443.998513798664135,2085608.943731206003577
-1,113,בועיינה - נוג'ידאת,482,מועצה מקומית,צפון,בועיינה - נוג'ידאת,0482,1,4,168,13,41,128,4,173,181,3,4,2,102,148,15.782787104915679,7.159698679886851,202308,16845.489014871262043,7159698.679886851459742
-1,60,בוקעאתא,4001,מועצה מקומית,צפון,בוקעאתא,4001,0,5,104,6,21,80,8,109,92,0,2,3,44,64,3.070603871234999,19.540130383496180,202308,25183.469517655346863,19540130.383496180176735
-1,77,ביר אל מכסור,998,מועצה מקומית,צפון,ביר אל מכסור,0998,0,10,102,9,21,89,2,112,126,2,4,1,81,105,13.211848083482471,5.828102133286398,202308,21761.917559634555801,5828102.133286397904158
-1,198,בית ג'ן,480,מועצה מקומית,צפון,בית ג'ן,0480,1,11,347,15,77,265,14,359,298,4,2,0,197,227,27.503542234885860,7.199072697947036,202308,17571.475836228742992,7199072.697947036474943
-1,134,בית דגן,466,מועצה מקומית,מרכז,בית דגן,0466,0,4,162,8,18,128,17,166,248,23,10,4,140,208,94.385498553871727,1.419709616975936,202308,6676.810543990974111,1419709.616975936107337
-1,381,בית שאן,9200,עירייה,צפון,בית שאן,9200,0,14,488,56,77,356,51,502,660,20,17,23,354,516,51.579079985479140,7.386715701545306,202308,13946.166734252055903,7386715.701545305550098
-1,1072,בית שמש,2610,עירייה,ירושלים,בית שמש,2610,7,77,1278,295,295,888,89,1362,1723,77,54,46,899,1424,27.996917152277369,38.289930072275823,202308,49318.128042818112590,38289930.072275824844837
-1,3428,בני ברק,6100,עירייה,תל אביב,בני ברק,6100,10,153,3684,899,703,2418,404,3847,5452,560,194,285,2120,4335,466.490699365833393,7.348485199512368,202308,12598.811665282799368,7348485.199512368068099
